mes,lote,cod_distrito,distrito,año,waste_type,amount,category
FEBRERO,2,2,ARGANZUELA,2023,orgánica_hojas_y_ramas,0.0,recyclable
FEBRERO,2,3,RETIRO,2023,orgánica_hojas_y_ramas,0.0,recyclable
FEBRERO,2,4,SALAMANCA,2023,orgánica_hojas_y_ramas,4.62,recyclable
FEBRERO,2,5,CHAMARTÍN,2023,orgánica_hojas_y_ramas,0.0,recyclable
FEBRERO,3,8,FUENCARRAL,2023,orgánica_hojas_y_ramas,0.0,recyclable
FEBRERO,3,9,MONCLOA,2023,orgánica_hojas_y_ramas,1.76,recyclable
FEBRERO,3,10,LATINA,2023,orgánica_hojas_y_ramas,0.0,recyclable
FEBRERO,4,15,CIUDAD LINEAL,2023,orgánica_hojas_y_ramas,1.884,recyclable
FEBRERO,4,16,HORTALEZA,2023,orgánica_hojas_y_ramas,2.198,recyclable
FEBRERO,4,20,SAN BLAS,2023,orgánica_hojas_y_ramas,1.256,recyclable
FEBRERO,4,21,BARAJAS,2023,orgánica_hojas_y_ramas,942.0,recyclable
FEBRERO,5,13,PUENTE DE VALLECAS ,2023,orgánica_hojas_y_ramas,728.0,recyclable
FEBRERO,5,18,VILLA DE VALLECAS ,2023,orgánica_hojas_y_ramas,273.0,recyclable
FEBRERO,5,14,MORATALAZ,2023,orgánica_hojas_y_ramas,637.0,recyclable
FEBRERO,5,19,VICÁLVARO,2023,orgánica_hojas_y_ramas,182.0,recyclable
FEBRERO,6,11,CARABANCHEL,2023,orgánica_hojas_y_ramas,0.0,recyclable
FEBRERO,6,12,USERA,2023,orgánica_hojas_y_ramas,0.0,recyclable
FEBRERO,6,17,VILLAVERDE,2023,orgánica_hojas_y_ramas,0.0,recyclable
MARZO,1,1,CENTRO ,2023,orgánica_hojas_y_ramas,0.0,recyclable
MARZO,1,6,TETUÁN,2023,orgánica_hojas_y_ramas,0.0,recyclable
MARZO,1,7,CHAMBERÍ,2023,orgánica_hojas_y_ramas,0.0,recyclable
